"","Longitud","Latitud","Poblacio"
"Abella de la Conca",1.091706045,42.161287097,171
"Abrera",1.902237925,41.5162579,12620
"Àger",0.763537783,41.99921535,588
"Agramunt",1.098635444,41.786969835,5464
"Aguilar de Segarra",1.630963223,41.738929127,286
"Agullana",2.846385617,42.394097857,885
"Aiguafreda",2.249396729,41.768885037,2556
"Aiguamúrcia",1.363104482,41.34655112,960
"Aiguaviva",2.762375415,41.938086424,789
"Aitona",0.458983454,41.494610388,2493
"Alamús, els",0.738550669,41.61570667,773
"Alàs i Cerc",1.508172662,42.35162992,322
"Albagés, l'",0.739237187,41.44879641,357
"Albanyà",2.720108023,42.304746628,178
"Albatàrrec",0.605376149,41.573078617,2224
"Albesa",0.659485934,41.750716082,1561
"Albi, l'",0.936040777,41.423287263,749
"Albinyana",1.486184747,41.245632533,2504
"Albiol, l'",1.089629618,41.252099849,515
"Albons",3.085200894,42.104246344,798
"Alcanar",0.481966932,40.5428638,9579
"Alcanó",0.617145104,41.480448923,233
"Alcarràs",0.524318402,41.562873616,9678
"Alcoletge",0.694256215,41.647010196,3492
"Alcover",1.170205538,41.262631863,5185
"Aldea, l'",0.620293809,40.745894216,4160
"Aldover",0.500003865,40.879791715,911
"Aleixar, l'",1.046140895,41.201640418,912
"Alella",2.295144857,41.493840079,9954
"Alfara de Carles",0.400259187,40.873757773,376
"Alfarràs",0.56965673,41.829992693,2759
"Alfés",0.619339111,41.521417722,301
"Alforja",0.975275129,41.210454848,1843
"Algerri",0.638489583,41.815807085,423
"Alguaire",0.583741122,41.736183765,3065
"Alins",1.318664825,42.548708285,279
"Alió",1.306398395,41.295126206,478
"Almacelles",0.436732426,41.731581971,6875
"Almatret",0.42358212,41.305565568,310
"Almenar",0.567375973,41.79806557,3365
"Almoster",1.113359413,41.198093095,1322
"Alòs de Balaguer",0.960531325,41.912589323,122
"Alp",1.887513138,42.373498188,1645
"Alpens",2.101142098,42.119261415,269
"Alpicat",0.55507915,41.666360775,6274
"Alt Àneu",1.108575263,42.633973639,430
"Altafulla",1.376896997,41.142272974,5512
"Amer",2.603222047,42.009133826,2383
"Ametlla de Mar, l'",0.803501688,40.885248463,7131
"Ametlla del Vallès, l'",2.261520529,41.66939188,8787
"Ampolla, l'",0.714340607,40.814206799,3444
"Amposta",0.581007048,40.713452378,26317
"Anglès",2.637779014,41.956819939,5709
"Anglesola",1.081418917,41.658996965,1356
"Arbeca",0.924966081,41.542238314,2141
"Arboç, l'",1.603603923,41.267502585,5625
"Arbolí",0.948646721,41.241958857,126
"Arbúcies",2.513754625,41.816004313,6507
"Arenys de Mar",2.551624094,41.579533962,15942
"Arenys de Munt",2.53916522,41.610949943,9191
